price,volume_24h,percent_change_24h,market_cap,market_cap_dominance,date
96400.3,17689982182,-1.24806253,1911170309401,59.7046,2025-02-17T01:50:00.000Z
96381.72,17624937513,-1.26883228,1910801911903,59.6931,2025-02-17T01:51:00.000Z
96433.81,17669151396,-1.23938196,1911834701239,59.6736,2025-02-17T01:52:00.000Z
96542.77,17010440140,-1.11584479,1913994737752,59.6684,2025-02-17T02:03:00.000Z
96581.79,16384728249,-1.08883521,1914768285351,59.6876,2025-02-17T02:05:00.000Z
96570.76,16533279309,-1.08814403,1914549690341,59.6808,2025-02-17T02:06:00.000Z
96570.76,16533279309,-1.08814403,1914549690341,59.6808,2025-02-17T02:06:00.000Z
96566.83,16570971364,-1.09905365,1914471870108,59.6544,2025-02-17T02:08:00.000Z
96384.39,17782517017,-1.25644927,1910855758037,59.6513,2025-02-17T02:39:00.000Z
